"Land Area","Ocean Area","2008","S_2008","2009","S_2009","2010","S_2010","2011","S_2011","2012","S_2012","2013","S_2013","2014","S_2014","2015","S_2015","2016","S_2016","2017","S_2017","2018","S_2018"
"Afghanistan","Inland waters","1050","F","1650","F","2250","F","2850","F","3480","F","4110","F","4760","F","5450","F","6150","F","7000","F","7950","F"
"Albania","Inland waters","558","","554","","500","","500","","500","","500","","500","","500","","600","","600","","1850",""
"Algeria","Inland waters","2770.132","F","2114.79","F","1639.384","F","2045.237","F","2277.419","F","1839.676","F","1460.434","F","959.66","","1006","F","1046","F","3063.6",""
"American Samoa","Inland waters","18","F","18","F","18","F","20","F","20","F","20","F","20","F","20","F","20","F","20","F","20","F"
"Angola","Inland waters","190","F","260","F","310","F","310","F","310","F","57","","305","","872","","655","","1339","","1752",""
"Antigua and Barbuda","Inland waters","0",".","0",".","0",".","4","F","10","","11","","13","F","10","","10","F","10","F","10","F"
"Argentina","Inland waters","2465","","2351.95","","2431.35","","2825.25","","2863.42","","3782.95","","3988.91","","3612.65","","3626.285","","3545.52","","3191.71",""
"Armenia","Inland waters","5100","","5240","F","5000","F","6300","F","8850","","11700","","13925","","15130","","16381","","16690","","17000",""
"Australia","Inland waters","726.2","","1265.202","","1328.946","","1183.59","","1055.02","","1129.62","","1135.49","","1326.62","","1523.57","","1495.57","","1579.16",""
"Austria","Inland waters","2087","","2141","","2167","","2904.3","","3125.5","","3237","","3390.3","","3503.4","","3483.4","","3861.6","","3990.6",""
"Azerbaijan","Inland waters","1000","F","1000","F","1000","F","517","F","366.1","","325","","305","","561","","640","","695","","478",""
"Bahamas","Inland waters","0","-","0","-","1","","1","","1","","1","","1","","1","","1","","1","","0","."
"Bangladesh","Inland waters","894205","","944839","","1183273","","1378688","","1575306","","1697983","","1782575","","1879752","","1997645","","2121099","","2190833",""
"Barbados","Inland waters","2","F","2","F","2","F","10.5","F","10.5","F","14.5","F","20.5","F","20.5","F","25.5","F","25.5","F","25.5","F"
"Belarus","Inland waters","14636","","15659","","16265","","16293","","15499","","13548","","10658","","9130.9","","11199","","10353.5","","11580.9",""
"Belgium","Inland waters","126","F","576","F","539","F","101","","277","F","212","","214","","82","F","44","","75","","111",""
"Belize","Inland waters","1865","","1613","","658","","55","","63","","60","F","47","","50","F","55","F","60","F","60","F"
"Benin","Inland waters","213","F","308","","364","","400","F","500","","667","","1425","","4459.66","","4207","","4529.66","","5114.137",""
"Bhutan","Inland waters","46","F","46","F","46","F","75","F","78.34","","69.8","","139","","149","","185","F","222","","223.62",""
"Bolivia (Plurinat.State)","Inland waters","631","","775","","856","","966","","1060","","1076","","1400","","2987.5","","3250","F","3500","F","3500","F"
"Bosnia and Herzegovina","Inland waters","7282","F","7360","F","7360","F","4650.95","","3489.3","","2764.5","","3177","","4276.6","","4390.4","","3583.9","","3465",""
"Botswana","Inland waters","0",".","0",".","0",".","0",".","0",".","0",".","0",".","20","","15","","15","F","15","F"
"Brazil","Inland waters","247876","","286313","","325989","","347829","","381648","","392993","","476400","F","483500","F","509590","F","514070","F","528470","F"
"Brunei Darussalam","Inland waters","4","","7","F","14","F","20","F","20","F","27.9","F","6.28","","12.04","","14.42","F","19","F","8.68",""
"Bulgaria","Inland waters","4562","","5915.918","","7222.357","","4885.115","","5097.28","","10324.72","","8651.695","","10163.904","","11830.259","","12460.571","","13810.703",""
"Burkina Faso","Inland waters","475","","275","","280","F","300","","302","","320","","301","","280","","440","","512","","548",""
"Burundi","Inland waters","50","F","50","F","17.3","","61.7","","160.4","","385","F","805","F","1326","","1400","F","1470","F","1550","F"
"Cambodia","Inland waters","38350","F","47965","F","57780","F","69380","","71030","F","86590","F","115535","F","139630","F","159668","F","194280","F","238610","F"
"Cameroon","Inland waters","546","F","546","F","570","F","571","","840","","1195","F","1575","F","1955","F","2315","","2315","","2340","F"
"Canada","Inland waters","9000","","8827","","8399","","7282","","7427","","8091","","8682","","9157","","10944","","10630","","10174",""
"Central African Republic","Inland waters","140","F","140","F","170","F","170","F","182","F","180","F","180","F","180","F","190","F","190","F","190","F"
"Chad","Inland waters","30","F","30","F","30","F","30","F","30","F","60","F","60","F","154","","94","","450","","450",""
"Chile","Inland waters","8716","","27481","","36238","F","41428","","59542","","44420","","68690","","648","","915","","3182.61","","1347.48",""
"China","Inland waters","20781165.344","","21867615","F","22720689","F","23424340","F","24150914","F","25544100","F","26968553","F","27866503","F","28844960.753","","29117696.182","","29661034.563",""
"China, Hong Kong SAR","Inland waters","2266","","2105","","2190","","2315","","2306","","2187","","2001","","2092","","2543","","2543","","2536",""
"Colombia","Inland waters","49800","F","62518","","67678","","74159","","80609","","84703","F","88990","F","93373","","103985","F","114785","F","127659.22",""
"Congo","Inland waters","65","","56","F","58","F","68","","98","","119","","134","","153","","177","","207","","95",""
"Congo, Dem. Rep. of the","Inland waters","2970","F","2970","F","2970","F","2970","F","2869","","2869","","2871","","2956.5","","3161","","3200","F","3200","F"
"Cook Islands","Inland waters","2","F","2","F","2","F","2","F","2","F","2","F","2","F","0.3","","1","F","1","F","1","F"
"Costa Rica","Inland waters","21768","","21180","","23589","","24624.5","","24129","","27262","","23514.5","F","19100.5","","17101","F","17101","F","17101","F"
"Croatia","Inland waters","4458","","5066","","5048","","6283","","4214","","3235","","3808","","4831.91","","4034.2","","3272.2","","2898.83",""
"Cuba","Inland waters","32127","","31171","","26747","","20623.8","","21587.2","","23943.1","","26052","","26357","","23028","","24490","","20968",""
"Cyprus","Inland waters","57","","70.2","","70.5","","67.4","","61.15","","54.86","","42.8","","43.7","","40.5","","44.11","","43.84",""
"Czechia","Inland waters","20395","","20071","","20420","","21010","","20763","","19357.4","","20135","","20200","","20952","","21685","","21751",""
"Côte d'Ivoire","Inland waters","1290","F","1340","F","1700","F","3394","F","3720","","3720","","3750","F","4000","F","4392","F","4500","F","4500","F"
"Denmark","Inland waters","22660","","21356.1","","23218","F","23305","F","22058.16","","21223.2","F","21654.3","F","21676.5","","22362","F","21723","F","21899","F"
"Dominica","Inland waters","24","F","24","F","11","F","6","F","6","F","6","F","6","F","6","F","6","F","0",".","0","."
"Dominican Republic","Inland waters","140","F","140","F","140","F","1347.9","","654.3","","905","F","1380.5","","1435","F","1535","F","1750","F","1800","F"
"Ecuador","Inland waters","23222","F","40363","","49405.46","","49702","F","41555","","28382","","28452","F","23652","","28980.4","","29390","F","29390","F"
"Egypt","Inland waters","536554","","546624","","802501","F","875848","F","893901","F","982160","","1014359","F","1034410","F","1212734","F","1209178","F","1295478","F"
"El Salvador","Inland waters","3606","F","3962.17","","4093.69","","4105","","4105","F","2489","","833","","5639.71","","6811.68","","7122","F","7422","F"
"Equatorial Guinea","Inland waters","2","F","3","F","15","","17","","15","F","15","F","15","F","15","F","15","F","15","F","15","F"
"Estonia","Inland waters","813","","653.6","","573.04","","388.34","","581.398","","733.214","","870.475","","798.7","","867.733","","870.461","F","943.661",""
"Eswatini","Inland waters","0",".","73","F","209","","100","F","100","F","100","F","100","F","100","F","100","F","100","F","100","F"
"Ethiopia","Inland waters","25","F","25","F","25","F","25","F","38","","45.3","","85.5","","90.5","","95","F","126","","165",""
"Fiji","Inland waters","217","","220","","207","","184","","165","F","165","F","185","F","185","F","195","F","218","F","233","F"
"Finland","Inland waters","2159","","2513","","1926","","1930","","2211","","2133","","1962","","2506","","2399.17","","2219.7","","2409.4",""
"France","Inland waters","43475.4","","41958","","44007","","41006","","40384","","40515.9","","39556.7","","33575.2","","35704","F","35755","F","35755","F"
"French Guiana","Inland waters","8","","8","","4","F","4","F","4","F","3","F","3","F","3","F","3","F","2","F","2","F"
"Gabon","Inland waters","124","","126","","130","","130","","48","","46","","45","","45","F","45","F","45","F","45","F"
"Gambia","Inland waters","5","F","5","F","5","F","13","F","13","F","13","F","15","F","15","F","15","F","15","F","15","F"
"Georgia","Inland waters","422","F","705","F","850","F","1000","F","1155","F","1305","F","1475","F","1635","F","1745","F","1962","","2281.5",""
"Germany","Inland waters","36973","","35207","","35695","","18205","","19317","","20151","","20652","","18954","","19457","","19043","","18252",""
"Ghana","Inland waters","5594","F","7154","F","10200","F","19092","F","27450","F","32513","F","38535","","44600","","52470","F","57405","F","76620","F"
"Greece","Inland waters","3991","","3093","","3203","","2396.7","","2472.14","","2371.19","","2072.7","","2234.8","","2157.4","","2440","","2597.4",""
"Guadeloupe","Inland waters","11","","7.4","","8","","10","","10","F","10","F","10","F","10","F","4","F","4","","4","F"
"Guam","Inland waters","110","F","88.5","","82","","70","","70","F","70","F","70","F","70","F","70","F","70","F","70","F"
"Guatemala","Inland waters","3000","","3000","F","871.23","","5524","","5479","","5998","","7504","","7979.6","","8539.9","","9905","","11044",""
"Guinea","Inland waters","170","F","177","F","185","F","187.2","","292.5","","322.8","","351","","409","","477.8","","572.9","","686.6",""
"Guinea-Bissau","Inland waters","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","10","F","35","F","40","F"
"Guyana","Inland waters","215","F","342.96","F","355.8","","190.1","","233.178","","191.65","","138.354","","298.13","","267.46","","465.115","","131.72",""
"Haiti","Inland waters","162","F","225","F","360","F","600","","720","F","800","F","1010","F","1220","F","1290","F","1400","F","1400","F"
"Honduras","Inland waters","20494","","14232","","16455","","20000","F","20500","F","22600","F","29750","F","30100","F","31000","F","33000","F","33500","F"
"Hungary","Inland waters","15687","","14825","","14245","","15584","","15133","","14918","","15326","","17337","","16247.969","","18257.5","","17852.3",""
"Iceland","Inland waters","381","","75","","88","","228.5","","422.3","","113.8","","603.5","","728.6","","2138","","4628","","295",""
"India","Inland waters","3567900","F","3547251","F","3648357","F","3355062","F","3847911","F","4155509","F","4408743","F","4656644","F","5076133","F","5427839","F","6260700","F"
"Indonesia","Inland waters","908693","","981359.65","","1333309.21","","1720388.76","","2101873.74","","2576172.325","","2872838.87","","2961108","","3216797.07","","3774023","","3546103",""
"Iran (Islamic Rep. of)","Inland waters","150354","","174424","","213675","","239236","","286362","","312627","","297576","","325858","","366636","","366505","","369959",""
"Iraq","Inland waters","19246","","18732","","20320","","16290","","25040","","14060","","26625","","24803","","28835","","31814","","25737",""
"Ireland","Inland waters","834","","958","","732","","656.95","","651.4","","808","","886","","848","","720","","647","","557",""
"Israel","Inland waters","16977","","17311","","17845","","18491","","17620.4","","18877.6","","17093","","17380","","16532","","14440","","14455","F"
"Italy","Inland waters","39278.263","","39334","","38639.63","","38803.9","","38965","","39070","","34857.15","","34869","F","40899","F","40900","F","36728.37",""
"Jamaica","Inland waters","5814","","5044","","3812","","1107","F","588.65","","787.9","","876","","602","","947","","1342","","1615.63",""
"Japan","Inland waters","40372.102","","41286.113","","39763.05","","39252.085","","34317.081","","30856.085","","34211.085","","36636.083","","35498.099","","37138.101","","30054.055",""
"Jordan","Inland waters","540","","440","","541","","575","","600","F","720","F","885","","885","F","885","F","885","F","900","F"
"Kazakhstan","Inland waters","206","","303","","224","","858","","738","","811","","410","","730.4","","1878","","1563","","1600","F"
"Kenya","Inland waters","4452","","4895","","12154","","22135","","21488","","23501","","24096","","18656","","14953","","12356","","15120","F"
"Korea, Dem. People's Rep","Inland waters","4050","F","4050","F","4175","F","4185","F","4990","F","4995","F","5095","F","5300","F","6300","F","9515","F","13365","F"
"Korea, Republic of","Inland waters","19150","","18364","","22233","","21788","","20277","","18236","","20761","","23923","","26027","","27906","","29005","F"
"Kuwait","Inland waters","274","","262","","300","","309","","299","","301","","295","F","260","F","185.76","","175","F","187",""
"Kyrgyzstan","Inland waters","92","","133","","352","F","394.5","","297","","300","F","577.93","","1068.4","","1930.7","","2100","F","2558.7",""
"Lao People's Dem. Rep.","Inland waters","64300","F","75000.5","F","82100","F","95600","F","101895","F","108000","F","108360","F","95965","F","100000","F","104000","F","108200","F"
"Latvia","Inland waters","584","","517.2","","548.8","","545.5","","574.54","","643.21","","686.28","","862.85","","788.077","","807.94","","829.66",""
"Lebanon","Inland waters","955","F","1055","F","1155","F","1255","F","1255","F","1155","F","1115","F","1015","F","1015","F","1015","F","1015","F"
"Lesotho","Inland waters","91","","107.6","","300.4","","300.37","","400.37","","500.43","","900.53","","1001","F","1050","F","1801","F","2500.46",""
"Liberia","Inland waters","60","F","70","F","80","F","90","F","100","F","130","F","165","F","180","F","200","F","220","F","240","F"
"Libya","Inland waters","10","F","10","F","10","F","10","F","10","F","10","F","10","F","10","F","10","F","10","F","10","F"
"Lithuania","Inland waters","3008","","3421.6","","3190.99","","3279.61","","3581.96","","4210.88","","3835.8","","4450.17","","4392.74","","3749.07","","3750.09",""
"Madagascar","Inland waters","2830","F","2850","F","2880","F","3434","","3630","","3606","F","3773","F","3840.21","","4400","","5390","","2424.007",""
"Malawi","Inland waters","1700","","1620","","2631","","2833","","3232","","3705","","4741.56","","4974","","7646.39","","12216.8","","9014",""
"Malaysia","Inland waters","96043","","152831","","155598","","122406","","164256.61","","133391.56","","107231.376","","112645.13","","103848.207","","103096.93","","101770.07",""
"Mali","Inland waters","821","","1355","F","2083","","2083","","987","","2205.25","","1953","","2400","","4194","","3914","","3926",""
"Martinique","Inland waters","10","","15","F","10","","10","","10","F","10","F","13.5","","13","F","13","F","8","F","9","F"
"Mauritius","Inland waters","60","","102.6","","65.1","","74.1","","74.8","","78.3","","70.5","","2.39","","3.32","","3.32","","3.4",""
"Mexico","Inland waters","23552","","25509.641","","15224","","20325","","35862.619","","39159.026","","84173.235","","64870.67","","75204.52","","71429.354","","70197.372",""
"Moldova, Republic of","Inland waters","7800","F","8200","F","8800","F","9000","F","9080","F","9080","F","11000","","11166.05","","12011.4","","12083","","12530",""
"Montenegro","Inland waters","310","F","231","F","461","F","511","F","530","F","530","F","597","","503","","599","","692","","729",""
"Morocco","Inland waters","365","","385","","410","","338","","280","","540","","650","","580","","632","","674","","660",""
"Mozambique","Inland waters","90","","116","F","197","","284","","495","","581","","1029","","1133","","1180","","1835","","127",""
"Myanmar","Inland waters","617859","","697298.4","","772396.1","","760939","","826944","","870256","","902705.83","","944105.587","","959767.556","","989677.8","","1106891.623",""
"Namibia","Inland waters","20","F","22","F","50.64","F","59.38","","74.18","","110.17","","62.22","","35.04","","48.95","","74.59","F","43.85",""
"Nepal","Inland waters","27250","","26730","","28230","","30950","","34500","","36020","","43400","","48000","","49043","","56157.1","","59000","F"
"Netherlands","Inland waters","8655","","7862","","6485","","4135","","3385","","6330","","5500","","5295","F","5265","F","5315","F","6515","F"
"New Caledonia","Inland waters","3","F","3","F","3","F","3","F","3","F","3","F","3","F","3","F","0",".","0",".","0","."
"New Zealand","Inland waters","0","-","0","-","625","","675","","1203","","573","","1084","","1667","","1492","","1656","","1952",""
"Nicaragua","Inland waters","1388","","1581","","385","","26","","7","","39","","38","","30","F","4","","11","","10","F"
"Niger","Inland waters","40","","70","F","70","F","85","","100","","200","","329","","300","F","300","F","350","","350",""
"Nigeria","Inland waters","143207","","152796","","200535","","221128","","253898","","278706","","313231","","316727","","306727","","296071","","291233",""
"North Macedonia","Inland waters","1287","","1540","","1491","","1368","","1306","","1340","","1214","","991","","986","","1508.4","","1359.3",""
"Northern Mariana Is.","Inland waters","6","F","6","F","4.53","","4.53","","6","F","11","F","19","F","19","F","19","F","19","F","19","F"
"Norway","Inland waters","90","","83","","88","","73","","85.1","","103","","75.5","","85.77","","77.4","","97","","128.7",""
"Oman","Inland waters","0",".","0",".","0",".","1","","3","","3","","5.4","","20","","33","","77.248","","101.45",""
"Pakistan","Inland waters","135000","F","138000","F","140000","F","141830","","142724","","148008","","148266","","151055","","156305","","157340","","158952",""
"Palestine","Inland waters","65","","115","","242","","148","","179","","115","","34","","36","","30","","35","","279",""
"Panama","Inland waters","462","","416.38","","715.53","","871.2","","507.6","","401.2","","265","","89.32","","183.4","","175.36","","1960.8",""
"Papua New Guinea","Inland waters","1100","F","1350","F","1550","","1610","","1610","F","1610","F","1610","F","1720","F","1720","F","1700","","1700","F"
"Paraguay","Inland waters","2450","F","2600","F","2957.42","","4929.06","","5400","F","6450","F","7500","","8481","","8500","F","10781","","11536",""
"Peru","Inland waters","14987","","14837","","17320","","23608.35","","29563.3","","40068.22","","38683.05","","45758","","58767.18","","61031.66","","61398.12",""
"Philippines","Inland waters","311059","","308490","","308295","","306932","","310054","","318810","","299274","","303200","","299894.03","","315039.4","","322598.7",""
"Poland","Inland waters","36813","","36503","","30751","","29037","","32261","","35208.13","","40109.69","","36971","","38300","","38799.77","","43361.335",""
"Portugal","Inland waters","304","","252","","951.5","","1115","","478.6","","774.926","","752.179","","889.935","","675.73","","654.65","","790.26",""
"Puerto Rico","Inland waters","22","F","21","F","17","F","20","F","20","F","19.92","","20","F","20","F","20","F","20","F","20","F"
"Qatar","Inland waters","36","","36","","36","","36","","36","","56","","56","","10","","10","","10","","10",""
"Romania","Inland waters","12532","","13131","","8981.32","","8351.96","","9995","","10130","","10642.75","","10986.928","","12529.39","","12798.2","","12298.45",""
"Russian Federation","Inland waters","115234","","113487","","114734","","119397","","135009","","129774","","138349","","138024","","153871","","162816","","169132",""
"Rwanda","Inland waters","60.25","","60.3","","100.3","F","265.33","","505.98","","1165.2","","1504","","1620.2","","1580","","3357","F","5128",""
"Réunion","Inland waters","110","F","100","F","100","F","85","F","85","F","85","F","60","F","60","F","60","F","10","F","10","F"
"Saint Kitts and Nevis","Inland waters","1","F","1","F","1","F","1","","1","F","1","F","1","F","1","","1","","1","F","0","."
"Saint Lucia","Inland waters","0.24","","0.26","","5.5","","10.9","","13","","18.3","","15.6","","23.8","","27.14","","13.45","","15","F"
"Samoa","Inland waters","3","F","5","F","5","F","5","F","4.6","","1.817","","2.781","","13.34","","10","F","9.82","","12.629",""
"Saudi Arabia","Inland waters","3753","","3975","","3459","","4527","","4975","","5614","","6060","","5280","","7590","","7600","F","7600","F"
"Senegal","Inland waters","29","","37","","24.6","","162.365","","145.1","","326.8","","502","","523","","620.6","","291.5","","222",""
"Serbia","Inland waters","7533.72","","7440.44","","8195.33","","7628.95","","7661.19","","5935.54","","7168.37","","7387","","6877.66","","5069.65","","7338.7",""
"Sierra Leone","Inland waters","50","F","75","F","75","F","75","F","75","F","75","F","75","F","85","F","85","F","85","F","85","F"
"Singapore","Inland waters","283","","281","","403.3","","838.334","","1113.283","","1018.273","","809.8","","1060.755","","1029.987","","818.708","","853.829",""
"Slovakia","Inland waters","1071","","834.9","","702.4","","834.5","","1310.56","","1106.2","","1230.66","","1308.63","","2168.65","","2646.264","","2224.41",""
"Slovenia","Inland waters","1041","","930","","659.1","","901.9","","790.3","","846.7","","900.7","","958.9","","1161.7","","1003.7","","1254.2",""
"Solomon Islands","Inland waters","0",".","1","F","1","F","1","F","2","F","2","F","2","F","2","F","2","F","0.529","F","0.206",""
"South Africa","Inland waters","1572","","1221","","1141.6","","1459.8","","1665.62","","1827","F","1805","F","1839","F","1877","F","1684.14","","1982.3",""
"South Sudan","Inland waters","0",".","0",".","0",".","0",".","20","F","20","F","20","F","20","F","20","F","20","F","20","F"
"Spain","Inland waters","22281","","18959.568","","17929","","17115.47","","16775.66","","16300.14","","15536.903","","16641.75","","17826.302","","17357.388","","10931.3",""
"Sri Lanka","Inland waters","5172","","3979","","4547","","7723","","5492","","26397","","29042","","24134","","24405","","23333.19","","21755",""
"Sudan","Inland waters","0",".","0",".","0",".","0",".","7500","","6500","","6000","","7000","","6000","","9000","","10000",""
"Sudan (former)","Inland waters","1800","F","2000","F","2000","F","2000","F","0","-","0","-","0","-","0","-","0","-","0",".","0","."
"Suriname","Inland waters","0","-","0.56","","0","-","0","-","0","-","0","-","6.72","","51.47","","70.7","","75","F","75","F"
"Sweden","Inland waters","4016","","3984","","6979","","8716","","9398","","8542","","8660","","8576","","11005","","9923","","6816",""
"Switzerland","Inland waters","1216","","1249","","1261","","1466","","1471","","1593","","1593","","1593","","1733","","1733","","1743",""
"Syrian Arab Republic","Inland waters","8595","","8697","","8610","","7500","F","6200","F","4000","F","3000","F","2500","F","2500","F","2350","F","2350","F"
"Taiwan Province of China","Inland waters","161027","","146233","","148116","","141610.485","","150247","","152756.23","","146777.35","","132599.14","","119016.894","","115468.51","","119019.99",""
"Tajikistan","Inland waters","26","","255.1","","517.2","","537","F","274.8","","403.9","","443.6","F","450","F","439","F","475","F","480","F"
"Tanzania, United Rep. of","Inland waters","12","F","82","","209","","220.7","","2916","","2989","","3011","","3514","","4310","","11010","","14800",""
"Thailand","Inland waters","522463","","521879","","432378","","384351.43","","454254","","435765","","415124","","411528","","418023","","413263","","412284",""
"Timor-Leste","Inland waters","46","F","41","F","48","F","55","F","62","F","68","F","74","F","81","F","89","F","94","F","104","F"
"Togo","Inland waters","107","","107","","100","","20","F","20","","23","","25","","58","","98","","132","","290",""
"Trinidad and Tobago","Inland waters","12.69","","27.36","","13.5","","5.75","","6.55","","7.55","","5.45","","23.8","","11.1","","7.45","","7.45",""
"Tunisia","Inland waters","1117","","1204","","1144","","879","","970","","998","","1034","","1205","","1046","","1430","","881",""
"Turkey","Inland waters","66557","","76248","","78568","","100446","","111557","","123018.5","","108239","","101455","","101601","","104010","","105167",""
"Turkmenistan","Inland waters","26","F","26","F","26","F","26","F","26","F","30","F","30","F","30","F","55","F","60","F","70","F"
"Uganda","Inland waters","52250","F","76654.1","","95000","F","85712.7","","95906","","98063","","111023","","117590","","118051.2","","112343.6","","103737",""
"Ukraine","Inland waters","23927","F","23542.3","F","22615.5","F","23074.8","F","23049.4","F","22177.7","F","23447","","21271.3","","21424.6","","20168.2","","18595.43",""
"United Arab Emirates","Inland waters","21","","28","","16","","20","","30","","120","F","148","F","150","F","78.9","","258","","258","F"
"United Kingdom","Inland waters","10560","","13201.3","","12994.3","","11858.2","","13345.1","","11159","","11468.65","","10721.067","","10641.226","","10833.03","","10901","F"
"United States of America","Inland waters","324905","","300448","","300646","","241334","","229185","","245663","","237297","","243462","","250783","","249445","","264498",""
"Uruguay","Inland waters","36","","54.41","","84.97","","77.82","","91.232","","217.86","","215","F","203.828","","69.653","","59.979","","101.774",""
"US Virgin Islands","Inland waters","10","F","10","F","10","F","10","F","10","F","10","F","7.64","","8","F","8","F","8","F","8","F"
"Uzbekistan","Inland waters","4100","F","5162","","6654","F","8722.3","","14832.9","","23835.2","","29275.8","","36896.4","","38054.7","","52450","F","57384","F"
"Vanuatu","Inland waters","20","F","36.75","","79.5","","43","","43.38","","66.781","F","65.098","F","3.537","","4.545","","7.047","","6.205",""
"Venezuela, Boliv Rep of","Inland waters","2759.1","","4356","","4855","","5807","","6535","","6830","F","8224.42","","5283","","4529","","4495","F","4495","F"
"Viet Nam","Inland waters","1778220","F","1829800","","2054035","","2137413","F","2386821","","2399251","","2290728","","2354295.43","","2414545.06","","2541524.94","","2787850",""
"Zambia","Inland waters","5640","","8505","","10290","","10530","","12988","","20271","","19281","F","22754","","21600","F","21567.1","","24300","F"
"Zimbabwe","Inland waters","2652","F","2702","F","2782","F","7682","F","8090","F","10090","F","10600","F","10600","F","10085","","10300","F","10585","F"
