Country,FAOSTAT group,Element,Unit,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Denmark,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,4053.85,2953.85,2907.69,3507.69,4007.69,8407.69,9807.69,10707.69,4420,2000,7133.33,3866.67,4811.14,2914.33,2957.92,2217.82,2158.75,2417.69,1921.8,2545.16,1406.05,1725.87,2833.75,2180.08,5000.64,1495.21,1808.29,7941.8,8820.89,11663.28,13853.61,11008.89,8278.89,16263.14,22973.31,22138.82,7252.64,8906.5,8922.14,17217.96,11538.31,5983.85,8548.38,14079.18,23207.17,18383.96,12002.68,21197.28,14552.89,13104.51,7981.37,8307.57,8530.8,10350.56,8673.36,8628.64,12429.98
Djibouti,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.86,7.94,1.54,0,0,0,3.08,74.81,0,8.57,1.54,7.47,20.01,24.86,5.71,2.86,21.76,10.11,15.11,23.61,31.43,19.64
Dominica,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.14,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,3.54,2,3.54,206.94,2,9.4,9.54,12.86,11.54,18.08,26.51,27.27,21.54,23.08,21.54,11.54,5,5,8.86,385,76.94,38.76,123
Dominican Republic,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,200,300,500,500,500,600,300,400,300,200,500,1000,300,357,597,618,423.62,545.31,1093.85,2551.31,2836,1771.77,1898,1030,1280,870,1853,1247,1934.38,1440,1263,1574,2444,6372,3955.27,633.22,1691.6,1931.32,1836.27,1946.05,3864.09,5544.42,3919.78,3951.68,2593.83,3330.68,2209.08,3199.07,1922.65,2066.23,3583.3,9072.54,8069.13,11528.92,10830.61,11290.73,11360.95
Ecuador,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,206,326,524,845,994,867,900,1098,962,962,1061,1616,3045.15,4734.08,665,916.49,776.7,2113.58,2644.47,4893.29,9613.67,10763.98,12473.49,18098.62,16908.57,18002.19,16938.87,9674.43,6268.17,9776.06,23504.34,24025,15738.83,8403.68,17610.4,10920.63,18581.59,23095.24
Egypt,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,55200,55000,60400,90700,62900,71800,55000,52000,52000,53700,53200,55000,65700,68700,75000,69624,72722,75000,93650,105546,104810,128102,127693,133989,168298,181813,165711,208049,193973,212781,233256,233445,230591,251582.6,278327.01,290156.16,303635.86,360737.27,404640.89,460051.69,500802.81,513179.09,577331.78,574608.15,575028.31,567001.88,576979.93,670523.83,708372.99,982766.68,1049270.05,1048911.18,1142755.25,1168023.07,1170490.65,1326057.17,1360341.2
El Salvador,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,1300,1300,1000,900,1600,1300,1300,1000,1000,800,800,800,900,1544,869,1146.08,1628.62,1515.08,1719,1818,1019,551,795,1675,2806,1865,1695,712,4033,3562,4359,5151,4288,2856.75,4119.7,2944.47,2919.69,2790.96,3014.32,3125.54,2186.64,3465.7,3664.45,4173.33,4129.39,4820.19,6044.23,7637.45,7216.76,6462.22,6499.56,5857.69,3360.08,2328.25,6503.97,8570.76,8716.23
Equatorial Guinea,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,400,450,400,400,400,400,350,370,600,700,450,900,850,970,1113.86,1076,1025,962.43,901,856.71,888.21,993.86,1275.69,1925.54,1927.58,1402.58,2007.75,2337.15,2886.7,2523.58,1997.83,1654.48,1854.67
Eritrea,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,1,5,34.54,16,4,1,15,45,0,0,15.26,26.83,10,3,5.5,5.5,3,3,3
Estonia,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5585,3539,2309.24,3835.88,4590.5,4675.72,5617.41,4767.33,5086.86,4969.43,7637.48,5531.82,2478.54,3352.2,4045.37,4730.28,3986.8,3598.15,3387.68,1591.34,1948.03,1864.89,1779.3,1596.85,1492.3,1799.94
Eswatini,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,50,53,44,60,70,70,80,80,90,90,100,100,110,110,110,105,100,110,120,138,138,3384.8,2345.7,777.29,730.21,713.66,586.48,935.13,1142.82,896.83,906.63,823.89,448.89,667.19,740.11,636.11,394.2,421.92,508.21,346.42,309.76,292.08
Ethiopia,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4203,5319,6320,8805.14,10394,14008,15874,15699.54,15384.81,12340.69,9193.93,10028.08,9479.08,9141.04,11927.22,15829.44,15866.04,15993.81,22025.95,26755.86,36487.63,48092.45,43447.52,49212,55319
Ethiopia PDR,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,400,500,500,500,500,500,900,300,1000,1000,1000,1500,2000,2300,2500,2800,3100,3500,3400,3500,3700,3500,3500,3500,3344,2715.08,3810.54,4145,4507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Is.(Malvinas),Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2.11,2,3.22,1,4.76,1,1,10,17.86,15.08,9.21,8.86,26.36,1,3.5,13.5,8.5,1
Faroe Islands,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,36,0,0,0,0,0,5,10,25,50,60,47,48,68,11,108,880,1,123,131,233,318,5,102,301,541,330.53,667,513,196.04,211,343,240,6.46,1179.53,1119.48,838.5,1387.39,993.01,1236.97,461.53,292.04,190.79,908.54,681.68,1209.04,1107.25,1243.01,1122.25,973.61,1066.33,1146.71,1206.36
Fiji,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,100,100,56,61,57,57,80,117,200,118,119,122,154,118,95,337,87,344.25,388.72,47.17,141.69,8.83,140.79,127.49,308.45,327.49,539.8,672.86,2145.82,2835.43,762.36,82.95,146.08,167.77,317.43,462.88,574.17,355.46,330.53,997.64,129.44,202.92,97.84,157.1,188.63,379.6
Finland,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,29717.88,31184.07,30029.83,25272.48,25064.13,26602.65,27594.71,29989.51,28943.85,28005.23,31091,32319.54,29827.35,36952.74,37796.64,40130.82,37767.24,46415.24,40325.87,36007.76,41873.18,36989.03,37293.76,38485.93,34954.83,38461.98,36143.52,27289.69,29362.62,41952.52,46381.99,40201.9,45144.93,43714.39,54593.16,51031.27,56777.17,51674.11,60613.91,37528.52,48723.25,56974.37,61825.83,68892.43,61895.07,61957.69,78624.89,77381.95,71271.09,71049.52,80130.87,83723.46,91483.92,100606.25,97183.84,93481.47,97502.29
France,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,8738.46,10953.85,13946.15,16492.31,18884.62,21346.15,24866.54,25810,24426.47,26953.83,31851.79,35358.79,36400.34,33280.54,39944.08,35461.45,37292.14,40074.24,47824.41,50654.5,54325.72,56317.66,60906.73,63090.98,64811.28,88161.57,100107.08,104234.04,119847.57,145440.84,158465.97,164641.9,160485.71,166669.93,175402,193767.33,201622.22,194366.56,207424.89,198963.83,214422.63,205948.9,212994.76,224847.02,233240.99,247278.94,255230.61,254961.3,275554.79,280405.07,275235.8,287890.05,273571.36,258328.45,257052.49,253516.57,256839.47
French Guiana,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.38,29.05,4.19,33.02,37.22,29.2,75.71,48.31,0,0,0,6,6,12,23,32,32,32,32,30,3,82,80,101,114,87,89,89,84,79
French Polynesia,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.92,71.11,101.45,145.03,155.57,143.23,147.32,111.49,136.05,111.86,0,0,1,170.42,3,3,127.41,162.95,148.25,169.35,185.36,242.06,236.8,219.75,250.7,229.5,318.23,213.69,288.64,306.37,314.47,313.63,250.34,236.73,270.46,271.81,555.44,399.68,463.62,423.28,321.25,310.54
Gabon,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,1000,1300,1300,1300,1300,1300,1500,1500,1500,1800,1800,1800,1800,1800,1800,1806.15,1802.54,1805.54,1801,1801,1804.54,1805.08,1804.54,1805.54,1804,2037.69,1907,1903,1902,2019.89,2025.2,2014.91,3554.2,4552.33,7680.86,10095.76,10008.9,9166.9,10977.41,11437.58,10304.4,9713.54,9895.41,8772.97,10241.6,9938.93,10320.8,10796.27,10828.98,11023.59,12056.98,12475.68,11882.78,15430.48,14910.83,17828.08,12080.67
Gambia,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,1800,1800,1800,1800,2200,2200,2200,2200,2200,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2721,2763,2728,2722,2751,2706,2712,2705,2702,2722,2364,1665,1978,2055,2405,2394,2573.97,2244.71,2517.02,2594.71,2185,2532,2571,3048.86,3585,3882,4501,4444.76,3570.98,4437.1,4276.32,4768.68,4926.25,4515.89,3292,3149,2483,1280.8
Georgia,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1235,1129,244,247,183.67,197.56,292.86,465.33,237.43,199.08,149.44,487.09,655.25,829.05,834.24,1707.86,2535.99,2191.38,1853.93,2063.01,5300.36,5774.08,7518.03,4305.51,4728.47,4710.14
Germany,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,27570,27720,30180,33130,33890,37150,38100,41560,45814,52888.54,64479.43,63764.13,63154.97,66941.09,72483.14,69459.18,70313.96,75756.05,76186.77,84701.29,83262.22,79405.34,84738.76,85293.45,87912.51,91402.62,95589.06,105634.33,114938.75,117485.96,119727.05,133429.99,141683.18,170386.28,176957.22,189840.82,202309.86,200445.77,203060.75,175940.27,215799.14,202603.21,226962.69,231324.15,282255.28,286601.03,306792.99,314849.08,364427.82,350003.05,341454.35,329439.52,356679.94,387235.25,371774.73,389487.07,365146.41
Ghana,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,20200,17560,13360,9280,11000,11250,10900,11075,25391.53,33851.99,43936.75,37201.09,47948.97,45333.16,47712.58,56868,47846,45547,43641,44565,44365,45940,48427,46756,51259,60232,65816,62311.57,61950.14,65045.14,64424,61381,55451.43,58010,63606.71,82885.85,76008.78,80635.1,80813.75,84555.95,87348.11,89082.09,82657.44,81081.08,81415.29,90107.9,95758.67,96455.77,100684.45,104173.29,114649.93,122860.41,125808.13,131789.52,148938.92,148615.74,151246.85
Greece,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,10290,9390,9450,9530,8620,8630,8800,7860,7950,8040,6975,8080,8730,7600,9791,9319,10370,11003,10551.33,10781,10881.8,11158.22,11277.67,9853.59,8722.66,10344,10805.34,6773.22,6929.88,7692.78,6403.1,6212.89,8467.2,11001.55,12266.38,17472.36,15647.34,32977.56,11393.59,14572.43,24187.19,14994.68,13333.33,14106.75,18777.95,22469.44,25415.37,27117.22,24487.18,28417.05,22024.02,21656.4,21950.87,25278.25,21486.65,23379.75,20856.07
Greenland,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,100,170,344,109,405,201,304,3,6,109,204,6,147,0,14,0,6,4,11,5,5.86,82.78,57.86,63.71,98.57,235.57,151.71,4,3.86,94,246.86,79.86,55.57,36.14,130.68,147.43,112,73.14,21.97,67.02,100.36,37.94,55.25,45.15,56.12,89.33,52.54,57.11,81.97,74.15,108.66,79.13,673.26,139.07,183.2,135.26,278.83
Grenada,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54,1.54,0,0,1.54,0,0,0,1.54,1.54,4.4,8.79,10.55,9.01,5.93,14.95,18.9,18.27,10.01,17.59,33.64,24.43,21.34,2.54,0,5,14.57,9.51,4.97,7.97,10.01
Guadeloupe,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.05,38.73,11.09,62.94,68.87,96.74,80.15,83.25,0,0,0,0,0,0,2,4,4,0,0,0,1,1,1,4,4,4,4,4,2,2
Guam,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,41,70,41,36,45,85,142,180,205,210,212,174,177,191,191,191,193,193,199,198,200,200,200,150,150,150,150,150,150,128,117,100,100,100,100,100,100,100
Guatemala,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,200,300,300,200,200,300,300,200,400,400,500,400,500,528,550,580.15,604.62,581.54,622.69,404.62,422.62,763.85,52,89,117,194,631,598,700,2766,3013,4280,4592.62,4191.95,4900.7,6077.41,6691.09,8271.22,10490.56,9315.23,8691.29,8009.23,7356.99,5128.66,4945.8,5469.67,5772.37,5670.03,5507.2,4226.74,8263.14,9185.74,8991.26,10617.95,11340.97,13013.33,13895.93
Guinea,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,600,600,600,800,800,800,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1100,1300,1400,1600,1803,2003,2502,3002,3001,3001,3001,3501,4005,4605,3805,2972,2121,3440,3874.11,3960,2360.86,3304,3921.11,6178.51,6314.36,3390.4,5290,9233.56,11707.34,13909.38,15763.08,17874.91,20449.25,18838.04,22154.04,20526.43,24957.89,26766.03
Guinea-Bissau,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,20,40,50,50,80,80,100,150,200,200,200,200,250,250,235,250,200,200,150,150,150,150,150,150,168.89,165.56,155.56,238.78,165.38,150,150.11,166.67,150,175.56,167.5,90.29,186.11
Guyana,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,875,681,681,681,814,814,812,812,834,813,815,830,850,875,900,960,726,851.77,581.9,388.62,1087.87,1079.28,1128.48,1084.83,239.81,389.65,644.95,386.37,627.93,563.3,734.08,884.2,606.7,520.81,693.62,848.91,883.38,981.76,1061.92
Haiti,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,100,100,100,200,200,2200,1628.57,1342.86,1342.86,300,300,2014.29,2300,2300,3657.14,300,300,300,300,300,300,300,300,300,300,300,300,300,300,350,400,500,600,500,9951.43,5655.31,4230.27,4942.86,8034.54,2006.55,2919.94,5068.13,6734,5493.11,5569.97,6521.43,9065.43,7330.62,7112.82,7619.88,4990.67,4036.97,5232.2,1638.03,7028.79,6805.11,3564.52
Honduras,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,100,100,100,100,100,100,0,100,172,170,173.08,82.61,91.69,83.15,50.08,52,64.54,60,68.54,172.54,187.54,271.54,166,354,177,184,292,251.26,224.47,351.87,89.6,91.19,226.15,258.88,47.44,242.39,244.33,546.1,216.25,9427.4,8516.58,8821.66,544.45,988.39,10682.36,10109.24,4155.53,3313.96,3262.98,4920.75,10424.93,13430.39
Hungary,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,19300,21000,22000,20400,22400,23900,25700,28100,25700,23200,22700,26000,25900,27159,28688,29341,31815,28889,28238,27033,31019,35052,39237,33877,31727,28210,30740,34315,29517,27655,19047,21522.16,17204.22,15792.47,14959.51,12960,14617.14,13798.61,16830.17,17346.42,17685.71,17045.67,17083.05,20306.6,22487.93,24088.59,25730.27,30212.63,29979.25,29324.3,31432.74,27035.41,26746.85,30315.48,28736.75,26114.77,30150.48
Iceland,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,400,300,500,400,0,0,400,400,400,500,500,500,500,475,518,428,426.33,428,406,473,404,448,493,442,489,786,672,1031,994.5,574.5,1085,1351.67,1712,1199.17,1299.21,1106.5,776.62,1044.78,1517.6,1085.93,1037.79,567.66,617.04,901.33,576.15,444.33,409.19,381.98,295.7,316.27,693.74,1919.39,1528.93,2333.05,1355.02,2883.38,3394.63
India,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,303642.86,373471.43,428971.43,488381.25,523500,487400,544700,630300,701700,680996,702391,679496,756498,790485,788659,806442,871416,857117,879742,912311,1019107,958640,1011706,1108848,1112164,1230144,1255634,1344283,1408502,1601595,1690901.54,1761901,1974941,2007358,2208785,2333408.5,2443307,2550964.38,2768166.72,2728742,2965998.56,2760810.57,2846076.64,3127832.27,3565782.59,3767556.44,3698942.89,4434141.69,4371187.04,5062392.31,4353650.25,5208621.47,5283508.82,5547016.69,5917762.33,6530402.75,7010789.56
Indonesia,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,374700,391100,367500,399300,392600,469400,488700,426800,420500,410700,413700,422900,376334,385623,366967.46,370373.85,374321.23,379669.46,380885.23,408685.92,452148.1,449737.45,483597.71,505236.3,529271.82,564749.72,591136.31,610353.46,631906.87,670070.82,643987.36,676849.81,734842.87,770514.29,803391.43,896400.28,791875.38,822614.51,907464.7,936448.58,984296.67,1009151.69,1063069.34,1085806.24,1171260.35,1228114.3,1353473.08,1529426.05,1664818.99,2215588.09,2665743.02,2898124.56,3538591.43,3926419.02,4111910.4,4511145.06,5372010.83
Iran (Islamic Rep. of),Freshwater & diadromous fish,Total food supply,Tonnes - live weight,2300,1700,2000,1100,1400,2300,2900,1800,3400,5200,3460,2255,1811,3181,4349,6601,7655,9145.43,10300.65,12387.51,15149.04,16962.76,18557.03,22061.35,21649.93,29124.6,40456.51,43434.6,47132.53,67932.58,77769.82,80975.37,91422.08,111681,110820.79,136398,141327.58,173970.49,179656.01,163745.69,142824.43,124992.65,138367.78,147165.89,173500.47,190540.73,230229.25,217546.38,245781.54,290361.18,314143.66,374150.91,385480.14,408216.27,439093.91,480882.85,486284.59
Iraq,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,8000,7900,9800,17800,16200,12800,8200,14500,19102,28500,22800,29200,17800,13146,14632,19000,17500,17500,17500,17500,17500,17000,16500,16000,15941,15564,16250,21461,20938,20475,15110,22280,21808,25026,25555,21549,23919,16611,11513,10123,16100,13900,15226.19,26090.67,39492.98,62848.64,62601.59,47486.05,40670,34363,47198.21,76221.63,75227.47,76424.57,56674.94,80310.62,80982.36
Ireland,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,869.23,1684.62,1648.35,1516.48,1978.02,2078.02,1830.77,1830.77,2234.61,1623.08,1481.92,1886.92,1687.92,1897.92,1349,1845,1463.92,1578,1680.44,2274.9,2710.66,2146.21,2851.69,3108.43,3141.81,3874.92,5370.88,8463.09,11166.59,8137.89,7146.27,8836.03,8365.86,8669.9,11538.15,11151.35,6667.89,8909.72,5634.7,6120.8,6347.5,7712.06,6579.8,8785.72,12338.73,7674.51,6101.15,9122.19,8498.83,5300.03,7432.78,6343.04,8356.8,8915.63,14524.04,14630.28,17532.85
Israel,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,11402,11320,12194,12726,12450,12015,11444,12527,12365,14745,15826,15991,15115,14357,15164,15365.46,16412.5,16656.42,15722.3,14353.99,13989.84,14132.91,10736.67,12395.82,13488.27,13362.64,15365.36,15675.27,15468.92,15642.15,16152.74,13971.35,14700.58,15584.13,16630.52,18974.42,19133.2,20614.96,21137.06,22369.56,21731.24,22917.76,22996.59,32597.05,28345.16,21087.29,28834.8,28606.8,31403.01,43217.1,44997.57,72194.19,70030.51,89075.72,93759.04,105868.71,114106.21
Italy,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,16776.92,18230.77,19292.31,23030.08,22101.62,24358.46,23647.77,24624.38,25812.48,30838.51,31119.35,32911.5,31960.48,31296.68,30575.35,32181.93,30855.5,31849.41,35688.5,37285.97,39635.67,39753.73,40938.52,40087.1,44379.03,46222.96,53912.84,62284.71,73201.5,76312.63,83210.84,83053.55,86905.78,93310.23,88557.73,94897.1,99647.62,100191.56,95639.2,103607.86,109602.12,100829.43,113449.89,115254.93,127639.43,143428.01,164588.88,168563.75,160397.61,166346.35,173343.01,185064.03,186958.73,203636.11,224131.17,221967.69,208610.73
Jamaica,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,571.43,1428.57,2000,857.14,1428.57,1428.57,1142.86,1094.51,1307.93,1137.86,277.25,265.82,321.65,974.84,529.62,750,2280.33,3191.43,2630,4005.29,3733.76,3819,3567.49,3675.29,3777.39,3869.5,3994.26,3945.99,3962.07,4053.02,4882.21,5140.06,5296.88,6941.15,3221.44,4858.24,5405.64,8224.96,6603.79,6432.9,5912.93,4657.28,2068.16,1583.86,1907.08,2930.93,2942.84,3306.37,4413.63
Japan,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,155299.14,145009.37,186425.66,135446.16,144338.95,144588.58,184470.31,201044.07,225025.87,179389.77,201061.84,212736.23,262389.38,249753.25,283892.55,288868.06,327087.92,347075.51,428076.11,395852.16,452820.03,485265.48,507230.51,490438.64,595293.45,551850.75,555519.35,602467.83,650054.12,711860.98,672455.39,655688.5,767120.03,773757.04,758939.25,840597.28,760411.32,734818.01,733412.22,734878.18,797453.71,776840.23,693593.39,710101.08,649235.74,585066.54,706466.2,627928.1,664216.43,611902.99,624708.03,801107.63,749984.9,686078.98,724219.58,682901.91,646700.03
Jordan,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,130,195,265,320,370,405,410,370,372,410,2955.92,1906.42,4692.33,2432.98,2795.11,2966.06,4055.87,2304.25,2799.67,1067.16,857,972.48,969.27,908.68,1209.02,1046.5,1141.44,1131.5,5876.01,8677.19,7517.2,8295.24,8172.42,5640.89
Kazakhstan,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68468,59594,36307.65,29892.47,31464.19,17166.42,13143.27,23191.53,15039.49,4380.73,3432.96,3102.38,1158.81,2684.98,938.26,3446.3,7082.59,5954.85,28571.82,21209.91,25602.13,28790.44,24685.63,23102.92,21553.48,13177.35
Kenya,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,10032.22,14690.43,17163.33,17708.57,19199,21670,21660,21709.31,24798.26,29467.78,17237.13,20472.77,23313.11,24245.27,21349.83,37012,38563,41906,47765.5,42241,50312.5,72996.5,90449,84801.93,99560.6,112298,118020.62,119418,120028.7,165989.57,156890.35,120911.66,135814.5,159281.9,149522.52,138667.18,119400.29,138507.74,164392.87,172108.47,114608.14,80255.89,70577.6,80161.42,101748.39,124755.18,106270.14,117113.24,121573.9,125741.29,175532.44,150510.68,163836.09,171174.17,164818.93,138857.63,108951
Kiribati,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,28,28,30,30,30,37,40,36,34,261,173,365,302,306,341,316,321,332,317,302,299,297,4,93,89,76,71,385,299,212,150.76,51,15,12,12,8,32,26.44,4,4,28.08,4
"Korea, Dem. People's Rep",Freshwater & diadromous fish,Total food supply,Tonnes - live weight,24000,24000,24000,24200,24300,24410,24520,24620,24730,18845,27958,32072,36188,40305,40424,45007,48002,47003,51623,54526,54395,59094,62606,61139,59121,57987,54443,50889,47215,35000,32000,31000,27767,26720,25295,23055,23587.06,19533.16,15698.89,11946,8862.17,8830.11,8839.94,8813,9485.72,8707,9094.44,9136.78,9412.67,9643.33,8830,10878.44,11757.84,7943.17,9798.33,11278,14528
"Korea, Republic of",Freshwater & diadromous fish,Total food supply,Tonnes - live weight,900,3100,4400,2100,2000,1000,2000,8000,5100,8900,6700,6000,4100,4455,3023,9645.07,16691.86,16654.02,25499.92,29834.51,40892.75,43553.18,48266.04,44334.84,49712.42,66840.71,54016.84,42556.89,47211.19,52053.47,44658.08,53493.28,38180.01,40564.81,39822.79,38262.6,48835.96,43434.99,42534.88,45996.62,51195.82,49190.49,53409.15,62895.85,54893.82,58442.71,64818.86,57427.33,54611.86,60548.63,61334.1,65461.04,66166.33,77482.52,85573.45,78484.21,89143.16
Kuwait,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,100,100,100,100,100,100,200,200,200,300,300,300,300,347,349,218,294,237,51,93,195,52,98,256,122,254,385,188,666,413,236,521,501,929,1200,1150,1086,991,1059,900.23,400.69,3028.75,3600.32,3092.52,3798.72,4192.17,4082.02,790.5,5696.15,4470.38,4595.82,14139.8,8894.1,10588.39,10412.83,10780.85,10713.32
