Country,FAOSTAT group,Element,Unit,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Saint Kitts and Nevis,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,8.95,12.6,0,6.73,25.87,19.12,24.68,32.58,31.29,31.35,69.87,23.62,46.02,74.22,40.56,35.6,67.53,165.14,57.41,171.71,143.18,50.79
Saint Lucia,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.86,0,0,0,0,0,4.62,0,1.54,0,0,0,0,0,0,0,16.31,4.87,9.06,8.63,10.74,10.21,12.86,18.27,42.71,32.28,27.71,45.61,103.23,29.43,39.38,67.95,74.86,11.51,16.29,19.38,52,72.65,145.59,168.34,154.8,178.69
Saint Vincent/Grenadines,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54,6.33,8.25,2.65,10.11,12.97,12.44,11.65,7.04,8.79,4.19,6.93,11.87,20.88,6.15,7.47,4.19,10.81,5.93,19.34,11.06,9.47,4.4
Samoa,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.11,0,0,1,121.47,49.62,14.93,6.62,45.65,13.34,10.15,13.23,25.57,18.34,32.41,116.59,79.58,136.65,142.63,708.11,90.19
Sao Tome and Principe,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,1,0,0,0,0,36.92,0,0,0,0,0,0
Saudi Arabia,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,138,328,1230,1936,2017,7357.73,6926.34,5684.27,16491.66,15950.19,19693.31,17589.93,24062.54,23202.85,26065.06,34699.46,38295.69,54283.81,51727.6,69014.99,65665.87,47923.61,53195.06,96002.66,90171.77,149943.41,137481.99,128276.56,120803.18,140557.91,146125.37
Senegal,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,29000,30000,20000,21600,30200,25000,23000,21000,20000,28000,28000,25000,22000,24196,29215,26156,21512,20634.5,19719.15,23009.27,21844,21087,21066,20946,21383.82,21249,21506.43,18959.7,18376.15,18283.8,20462.1,26349,28693,36834,42429.83,49371.92,55553.39,44244.02,60236.48,53821.76,49541.52,45355.89,40475.49,25077.63,29989.51,24031.27,33437.61,31369.23,34274.58,34802.45,34365.41,35757.01,34521.7,31935.69,29784.6,29530.96,30094.63
Serbia,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10908.86,13592.44,14265.27,23007.62,28661.99,32684.71,32599.87,21776.32,21421.15,17454.65,13796.54,16934.03
Serbia and Montenegro,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5110,3796,3911,3589.89,4918.15,5507.25,11362.33,5861.09,5267,5405.78,5659.47,5396.92,8882.94,8754.58,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2.11,0,0,2,2.11,1,8.54,8.22,35.08,7,62.73,46.62,39.84,64.87,45.65,34.3,35.95,49.27
Sierra Leone,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,400,500,500,800,800,800,900,900,900,1000,1000,1000,1000,1000,1100,1330,1628,5197,12139,15811,16412,17083,16578,17095,17109,16624,16628,16630,16116,13690,14621,15485,14522,15212,17238,17540,17562.33,17330,14515,17066,14093.35,15392.61,14673.64,15293.23,14569.48,13373.67,13005,15928.67,14920,13909.44,12923.64,11886.11,10873.22,9949.92,9957.39,9728.79,8882.31
Singapore,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,853.85,1053.85,2582.42,3153.85,1439.56,1925.28,3453.85,1739.56,1639.56,1639.56,1253.85,1000,800,1219.56,1150.87,1413,1467.94,1740.89,900.76,1563.98,1400.39,1814.91,368.32,1472.89,464.42,330.88,384.4,233,135.7,1665.56,2410.44,4575.78,5119.16,4937.33,1386.11,1915.04,2720.42,2628.44,7284.46,8414.96,8450.81,9749.43,5456.62,1491.92,6795.11,6256.27,7184.59,11881.6,12869.64,14392.46,15451.13,55312.31,60406.4,67192.38,66703.24,68380.19,65633.33
Slovakia,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3077.77,4683.48,4632.69,4215.25,3633.71,3128.99,3639.76,3694.59,3956.22,4053.97,4372.25,5362.72,4928.64,10929.46,6404.08,6337.39,10631.07,10118.22,9800.38,8715.36,10082.78,10467.94,11257.16,12048.63,13559.66
Slovenia,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1032.84,980.14,1082.08,1164.68,1137.09,1203.02,1187.05,1527.67,1420.87,1441.67,1525.37,1554.09,1849.11,2036.14,2117.38,2639.79,3111.17,3654.17,3931.49,3673.22,4409.59,4901.19,4941.81,5217,4894.35,4754.22
Solomon Islands,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54,0,13.85,0,0,26.15,0,7.67,1,4.08,2,4.65,2,24.5,20.85,6.87
Somalia,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,300,300,300,300,400,450,500,500,400,300,250,250,250,240,250,250,250,240,279,195,105,200,199,145,200,201,194.89,200,200,192,2,156.43,172.88,463.44,262.83,229.8
South Africa,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,561.54,715.38,869.23,715.38,869.23,715.38,1330.77,1330.77,1023.08,2380.77,3303.85,1765.38,1765.38,1611.54,1765.38,1526.92,1869.75,2356.8,2119.98,2091.09,3136.55,1692.84,1772.64,2210.43,1651.71,2664.33,2584.14,2258.22,1988.38,3091.6,3828.18,2555.85,1778.65,1813.64,1736.53,4151.56,3325.49,2216.92,2914.06,3182.31,3599.51,3283.46,4734.74,5832.66,4541.23,5472.96,4944.79,6253.46,4755.03,5401.17,6169.16,8183.53,10293.28,10284.29,9702.55,11953.16,14390.53
South Sudan,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37250.56,37356.33,37514.06,37210.28,35066.07,33022.5
Spain,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,9600,10600,12000,12700,12400,12600,12600,12800,13300,14800,16400,13900,13700,14800,14170,17695,19326.88,19884.09,25262.15,33578.13,30372.03,31744.83,24356.15,25281.09,24913.58,27207.41,29597.72,32392.83,39493.46,45963.97,54918.89,56438.72,58577.45,55703.6,59916.53,74147.04,61274.24,66652.65,62403.61,74560.85,85762.47,88134.61,101533.52,106686.55,123012.53,155729.84,192457.31,223694.93,232583,241448.53,224697.62,189662.32,181169.85,189176.7,179475.64,164647.79,134267.43
Sri Lanka,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,3400,4600,4400,5500,7600,9300,8000,8000,7000,8300,8200,8400,7000,7690,13265,12459,12887,16455,16942,19187,27824,30945,33159,27605,29273,31420,31995,33042,34750,26710.68,19834.38,17233.28,13323.86,8277.76,15007.69,22550.76,27805.97,30238.9,31576.25,32295.78,26465.57,25544.88,28494.56,33743.08,35078.97,39760.72,44862.37,50950.54,50954.32,57738.83,68071.2,75629.92,79669.06,87990.42,80461.03,80854.1,85853.65
St. Pierre and Miquelon,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,1,0,0,0,2,3,17.15,1,1,1,23.5,1,1,2.54,5,2,2,2,6,10.3,2,7.36,2,0,7.71,12.08,16.44,19.08,11
Sudan,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30997.61,31688.72,31533.48,34075.34,40632.71,41617.05
Sudan (former),Freshwater & diadromous fish,Total food supply,Tonnes - live weight,13445,14300,16171.43,16500,18200,19000,19200,20700,21600,21400,20800,21100,21800,21800,21725,23846,22970,25599,27154,23520,25752,26860,23829,28462,25911,22793,26043,28045,29100,30234,31803,33200,37700,40200,41000,41481,43004.49,44999,45000,49009.23,54003.33,53602.22,55595,59099,55406.09,53746.88,61868.56,64851.11,68073.22,68102.28,68065.73,0,0,0,0,0,0
Suriname,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,500,400,400,600,500,500,500,400,400,300,300,300,300,242,295,252,235,103,90,71,70,82,217,145,228,109,107,126,350,350,360,564,190,169,141,158.69,213.31,213.31,250,337.01,271.18,183.94,139.25,132,126.83,174.72,96.72,39.58,120.17,375.87,535.09,457.9,475.41,572.85,326.92,598.67,535.15
Sweden,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,7690.24,7464.07,7939.03,8499.26,9552.4,9402.8,9383.93,9850.62,10200.29,10005.74,9407.74,11580.62,10953.74,10961.11,12093.63,11670.64,9139.58,10782.17,11202.46,11749.23,11599.76,13430.23,11965.49,12816.34,13981.55,17346.74,14551.54,22025.32,23167.17,21472.98,22072.02,24964.42,24357.85,24942.29,21836.08,34699.84,27371.23,26682.77,25101.36,24963.8,31931.46,36212.33,42949.6,48143.69,53849.13,55585.38,68530.83,71033.11,74281.22,71144.95,84168.32,87655.33,94213.4,105118.52,101290.07,88264.04,88106.13
Switzerland,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,5411.11,6216.67,5827.78,5850,6383.33,6255.56,6016.67,6166.67,6027.78,4738.89,5583.33,6689.13,7045.41,7329.17,7002.84,7096.38,8712.58,9265.14,10143,10994.33,11398.5,11497.83,11210.5,12360.33,13101,14261.43,15968.5,18358.2,19949.22,19185.77,20383.39,20091.2,20098.03,22674.31,23381.08,23446.98,25124.82,25916.11,26906.81,28016.81,31584.99,30146.24,29424.95,31042.05,33067.47,35950,38758.05,41068.27,43215.3,45279.32,45836.98,46094.54,50069.98,46074.9,50527.18,52743.67,49519.26
Syrian Arab Republic,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,500,500,600,600,600,600,600,701,704,700,700,600,600,850,1125,2547,2913,2281,3542,3657,3428,2940,3402,4136,4645,4382,3862,4282,3548,4184,6312,7700,7171,8091,9689,9458,9153,11580,11417,10786.71,11852.86,12343,13068,14321,13292,13894,14524,12962,14605.86,12487,10826,11618.5,9701.5,9180.5,6839.5,6494,7062
Taiwan Province of China,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,45633,37764,38397,43986,40908,44333,39758,37509,39125,51105,57241,56543,76043,77245,88377,92326,93840,108140,127079.57,122116.71,112700.6,121153.22,133902.11,130407.33,123942,118930.47,125499.81,148177.29,105515.07,182729.04,128332.2,105840.04,142413.68,174562.82,176224.7,135301.63,115343.9,95368.78,111326.12,101737.98,130573.81,154419.22,166056.58,135284.47,127234.4,117753.72,125557.62,128469.38,128839.67,122773.66,137866.29,170420.39,158562.44,158875.28,157067.64,130972.55,143023.4
Tajikistan,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,2715,1107,384,203,191,216,224,256.08,236,324,325,210,201.71,286.55,270.79,436.71,817.74,1233.02,1423.24,1018.11,1630.64,1671.72,1689.19,1566.97,1619.84
"Tanzania, United Rep. of",Freshwater & diadromous fish,Total food supply,Tonnes - live weight,49013.61,47384.61,58988.44,72200,74890.05,66088.56,92992.81,112591.01,110269.29,141331.54,146973.07,121333.33,135047.33,145588.19,159660.58,190784,223872,163775,146443,189900,191760,200754,205715,237318,257904,265770,303433,343759,327532,357331,272370,275500,287982,238374,303453.61,239912.15,280728.27,255763.42,233301.97,206061.85,220096.68,217141.18,226190.11,209559.89,229794.17,208866.86,279408.15,191968.29,224410.57,237295.08,232162.24,264663.3,286809.98,243087.2,293422.35,294042.09,306717.48
Thailand,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,68500,65700,91305,78310,80415,82822,81026,80631,85344,97336,101564,124789,134874,154686,155521,144484,119445,138323,129734,141761,161741,130531,151230,158881,161068,183596,168444,188360.43,203444.21,223981.06,253319.11,280682.12,328099.06,368697.91,381468.28,429101.81,440350.68,431615.12,459065.35,478559.07,484200.25,489038.12,526658.47,546953.93,446228.89,549173.82,678966.65,648797.88,641912.79,562735.47,556952.45,635291.67,648299.94,605306.12,624190.26,605648.24,624162.77
Timor-Leste,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.08,25.08,26,36,53,51,52,78.03,399.36,295.72,331.99,122.02,213.06,101.09
Togo,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,1700,2000,2000,2000,2300,2500,2500,3000,3000,2500,3000,3000,3000,3003,3005,3510,3668,3668,3500,3500,3500,3500,3507,3562,3550,3550,3679,3532,4550,4976,7600.97,7074.79,10767.3,6183.6,5051.11,5037.54,6356.56,5503.33,5771.41,10549.16,6226.96,5953.75,5578.11,8268.65,6584.61,6137,6596.9,5854.99,7108.44,8366.33,8925.22,10831.78,12998.34,37583.67,37706.33,34804.78,46901.17
Tonga,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,18.61,20.54,15.54,66.15,6.15,0,4.62,103.08,189.03,4.87,1.54,15.98,2.54,6.93,3.08,0,2.5,0
Trinidad and Tobago,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,545.5,41.54,199.34,302.88,230.99,263.3,284.03,608.82,375.21,659.37,362.66,447.47,309.45,242.2,100,2,73.65,167.15,34.85,28.61,33.77,56.1,95.89,131.78,158.08,219.37,244.02,156.94,232.12,269.15,804.08,930.76,616.99,534.29,560.6,597.96,552.29,584.77,1114.97,1117.93,1352.79,1540.46,1246.65,2040.94
Tunisia,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,100,100,100,200,400,200,200,200,200,211,196,267,100,104,191,153,254,297,295,347,269,469,519,208,115,109,228,110,108,369.57,248,384.43,232.97,605.98,767.43,1248.22,1677.87,1746.38,1719.58,1494.64,1485.49,1602.39,1606.98,2012.29,2076.01,2092.68,2142.79,2383.38,2431.12,2167.27,1690.24,2160.96,2146.18,2707.96,2873.5,2914,3283
Turkey,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,5380,7200,6420,6250,5780,7920,6050,7610,10717,11990,13351,14598,12997,12572,18312,16049,13738,17773,16128.98,25243.99,24933.02,26923,32003,38337,37081,36631,38910.33,45664,41761.01,39284.4,42407.64,45488.92,50309.91,47992.69,52911.83,56616.72,71334.89,82126.7,80067.6,84120.62,70190.46,67271.92,75279.53,80868.21,82231.2,84852.7,87600.33,92520.23,99588,103436.04,109486.81,120349.65,122522.86,106636.66,108919.62,96119.68,94963.96
Turkmenistan,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33727,18243,16060,10751.5,8976,8610.13,5649,7308,9823,11911,12226.63,14442.5,14517,14921.6,14926,14948.2,14941.33,15040.66,15045.1,15068.55,15073.52,15132.65,15225.67,15334.56,15292.94,15114.7
Turks and Caicos Is.,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.31,26.77,34.23,42.77,37.31,41.77,0,0,0,0,0,6.58,151.46,205.62,233.19,256.42,264.65,240.85,212.23
Tuvalu,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,1,6.56,0,2,6.44,2,2,2,2,2,2,5
US Virgin Islands,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,8,8,8,8
Uganda,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,54765.83,61206.82,68700.7,69499.32,75899.37,81104.19,98998.91,107500,123800,126600,134995.56,164285.34,167985.71,166491.89,187298.18,152400,219220,223830,179930,165840,166590,170035,172000,212331,160833,197635,200038,214325,212247,241115,202913,252847,203081,195266,175123,154308,193786,188528.7,203180.2,184455.55,181428.51,165723.38,185345.98,300802.38,333805.27,314930.97,407961.87,393143.81,437090.93,456966.34,480810.53,453400.82,468883.91,530754.82,472041,463101.31,458392.53
Ukraine,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95558,81028,62507,49306,43631,38319,36731,47815,43978,59614.44,53052.97,56259.04,45675.46,58598.12,46709.22,70674.87,74140.95,61889.13,52626.67,68741.55,71948.64,100670.11,91759.59,77363.91,98406.77,94269.25
United Arab Emirates,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,24,24,21,26,29,30,30,32,29,30,40,35,307.59,369.55,364.91,532.4,443.57,515.14,574.29,1326.36,1200.42,3980.61,3958.93,9042.52,2901.68,3363.32,4471.8,4542.12,8827.78,14141.41,60668.7,77935.74,85189.66,75686.73,63180.44
United Kingdom,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,44226.45,81444.4,61776.03,81444.44,77384.62,57500.86,72638.46,78172.65,56992.31,44801.71,59847.01,60453.85,46052.99,29639.24,38790.89,35141.6,25893.19,27489.31,30158.81,46886.69,55688.76,43891.08,58920.56,55381.53,54918.24,68497.88,69752.04,61746.65,71878.41,85846.31,92137.99,91004.28,95604.54,118205.41,111388.31,136239.4,143227.95,132816.35,142429.18,166840.61,166702.26,173301.15,150082.31,175097.05,181669.13,205361.36,195947.07,197960.61,218620.83,208344.64,202611.84,207142.82,204486.16,201514.38,209062.54,222897.02,222376.55
United States of America,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,289908.67,279237.33,269687.16,264827.31,278132.6,288055.09,209473.92,321171.49,253108.47,297246.21,256020.99,217335.36,212803.08,226999.92,209503.15,272088.07,262211.95,261361.87,263298.75,322434.18,320040.7,313016.3,341716.04,405749.98,393993.5,375245.27,379121.41,347268.21,459086.22,435158.88,488284.76,467734.02,524587.08,547950.11,612361.44,567336.54,604968.09,728644.12,789701.19,788420.15,914582.6,964358.72,1069523.23,1112260.17,1215323.83,1238139.54,1386319.58,1271462.4,1332560.98,1416620.06,1359055.59,1541136.11,1648276.72,1692545.31,1734694.66,1678707.29,1646683.77
Uruguay,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,33,159,75,213,168.67,143,140,306,72.52,54.17,184.05,114.47,198.83,281.3,150.53,246.09,160.17,482,301.38,629.59,911.59,865.33,650.14,1658.73,1653.26,266.36,350.74,488.43,407.43,360,108.11,93.08,994.11,406.9,783.94,818.29,2193.43,2510.21,3376.54,4923.86,5265.8,5194.93,4873.04,5250.51
Uzbekistan,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26479,20801,14726.66,12175.58,6592.05,10445,9649.35,8919.53,8959.1,7361.6,6359.76,5175.54,4976.05,6065.3,6542.85,5931.5,7183.9,8642.5,9586.07,16723.53,26769.57,39443.43,49121.52,62335.5,66329.5,83970.11
Vanuatu,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54,1.11,0,2.5,2.5,0,25.61,66,101.69,22.9,36.74,53.31,101.14,96.2,39.84,93.42,70.76,7.44,44.12,24.44
"Venezuela, Boliv Rep of",Freshwater & diadromous fish,Total food supply,Tonnes - live weight,9300,7600,6700,11200,8500,4700,5102,6205,7315,3820,5730,6545,8675,9293,7791,7057.31,8608.87,12026.46,7662.14,16205,13635,15647.29,20459,21611.61,16685.19,20260.62,27849.54,31475.01,23514,18985.67,21709.08,21023.79,29559.42,37446.58,53640.27,43947.6,41764.44,50703.75,39824.53,40632.98,47168.81,48784.08,46296.08,55770.61,32143.43,52228.75,41155.05,29987.23,41785.07,34570.13,40041.36,55354.72,53213.76,54444.24,39900.83,33297.8,26551.85
Viet Nam,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,128000,121300,134900,137000,142000,149700,144500,136000,148600,149100,156100,166800,176300,174000,171970,179920,174800,179600,184260,158440,177710,185380,200480,223279,231135,220810,234371,235893,261944,236185,247091,247653,268498,349983,389003,401603.89,430223.27,400716.29,479053.4,545065,570262.13,605269.17,713951.98,804484.16,893936.19,777240.17,1129292.17,1146409.33,1320745.28,1511740.91,1444390.17,1399919.05,1315113.44,1171656.9,1325690.19,1253069.08,1434578.91
Yemen,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.86,105.56,31.11,56.92,408.62,2297.04,1041.11,203.82,819.54,400.24,993.31,828.46,372.5,187.12,35.38,152.5,0
Yugoslavia SFR,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,13080,12090,13290,13195,16140,16870,16855,13910,16140,18620,17355,17463,19180,21958,20824,20480,23741,23724,18226,21205,23264,21562,24984,23698,23786,23591,22104,24783,23769.23,23323.46,12630.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,26700,31241.1,46115.04,45200,45814.29,49122.56,50261.9,52127.07,60876.71,51498.76,46800,49900,50400,46829,57264,54239,53686.9,47577,49526,51015,39598,55881,54377,65874,68363,55988.92,63233.86,60448.91,66955.96,65520.98,68226.68,70950.55,69799.23,74509.51,74466.77,71001,70199.21,74017,69826.71,69460.03,64906.06,65587.53,69264.87,71202.21,67831.65,64824.73,78835.76,79839.53,91332.41,85633.77,79852.79,99575.05,107206.28,112381.71,123687.01,128653.7,129863.99
Zimbabwe,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,1300,1300,1300,1900,2000,2000,2000,2000,2000,2000,2500,3002,3012,3109,3685,4550,4771,7772,9874,13288,16429,17512,13609,16409,17228.12,18937,19166.89,22177.44,24045,25707.19,22111.54,21591.44,21729.22,20707.42,16988.39,17689.33,19393.5,16862.24,13100.2,18324.06,13853.27,13800.02,12082.77,16721.69,11934.37,11584.4,11742.69,11672.68,14091.15,21156.85,30550.11,28945.07,32264.26,28899.21,31712.7,32151.93,29529.51
Totals - Production,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Totals - Stock variations,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Totals - Non-food uses,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Totals - Food exports,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Totals - Food imports,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Totals - Total food supply,,,,3805979.69,3978149.08,4085998.08,4300207.09,4561874.55,4678834.82,4781432.12,5155435.27,5253912.59,5389614.66,5540518.99,5711907.21,5993236.46,6100867.12,6023978.51,6145272.78,6375805.61,6394758.4,6567335.72,6986983.41,7567666.93,7846097.03,8535069.32,9243482.02,9963042.28,10976187.54,11767351.83,12598064.65,13278297.28,14082643.22,14412031.47,15973740.54,17595229.12,19297083.12,21280782.74,23189883.81,23990728.31,24640217.88,26090071.98,26493270.95,28248066.86,28878787.31,30183058.44,31613315.43,33917735.8,36302746.2,38746512.39,40935103.09,43392701.74,46390969.44,47461055.09,50233539.21,53194929.45,55030949.37,56784184.31,59039073.15,61094786.89
FAO. 2020. Fishery and Aquaculture Statistics.  Food balance sheets of fish and fishery products 1961-2017 (FishstatJ). In: FAO Fisheries Division [online]. Rome. Updated 2020. www.fao.org/fishery/statistics/software/fishstatj/en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
